ID,School,SFR,LT20,GT50,GRAD,FRR,GIVE
107,University of Central Florida,31,28%,23%,63%,86%,16%
108,University of Nevada—Las Vegas,22,25%,18%,41%,76%,5%
109,University of Southern California,9,63%,11%,89%,97%,39%
110,University of Texas—San Antonio,23,24%,23%,26%,58%,5%
111,University of Tulsa,11,70%,1%,65%,88%,22%
112,University of Utah,15,42%,17%,57%,83%,11%
113,Utah State University,19,32%,18%,56%,74%,8%
114,University of Virginia,16,52%,16%,93%,97%,22%
115,University of Washington,12,33%,21%,80%,93%,15%
116,University of Wyoming,14,42%,10%,53%,73%,10%
117,Vanderbilt University,8,64%,9%,91%,97%,23%
118,Virginia Tech,17,25%,21%,80%,92%,15%
119,Wake Forest University,11,54%,3%,89%,94%,29%
120,Washington State University,15,37%,22%,69%,83%,13%
121,West Virginia University,23,32%,19%,59%,80%,12%
122,Western Kentucky University,19,43%,6%,49%,73%,13%
123,Western Michigan University,19,36%,11%,52%,74%,10%
